职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据清洗,4千-6千,杭州-滨江,经验不限,大专,数据清洗,杭州蓝聘网络技术有限公司,http://jobs.zhaopin.com/CCL1319002470J40452274910.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
BI商业数据分析课程HZ/培训招生,8千-1万 · 13薪,杭州-拱墅,经验不限,大专,给排水工程、结构工程、电气工程,51Testing,http://jobs.zhaopin.com/CC145362720J40365041102.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
数据运营专员,8千-1.5万,杭州,经验不限,大专,Power BI、Tableau、电商数据运营、销售数据运营、经营数据分析、商业数据分析,东莞市黄沙电子科技有限公司,http://jobs.zhaopin.com/CC217802330J40425061410.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
遥感数据工程师,5千-9千,杭州-西湖,1-3年,本科,ERDAS、arcgis、GIS、MAPLNFO、数据处理,杭州零重空间技术有限公司,http://jobs.zhaopin.com/CC816555490J00257163306.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
数据开发工程师,1.4万-1.8万,杭州-拱墅,3-5年,本科,理财、基金、衡泰,京北方,http://jobs.zhaopin.com/CC315847110J40179549607.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
数据分析工程师,1.2万-2万,杭州-滨江,3-5年,本科,数据治理、数据挖掘、数据建模,山东华科信息技术有限公司,http://jobs.zhaopin.com/CC293762780J40500300402.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
数据分析专员/SFE专员,7千-9千,杭州-上城,1-3年,本科,销售数据分析、POWERPOINT、SFE,浙江科伦医药贸易有限公司,http://jobs.zhaopin.com/CC556294330J40373753506.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
GIS/RS项目经理/助理,6千-1万,杭州-萧山,经验不限,本科,GIS,浙江二十一世纪空间技术应用有限公司,http://jobs.zhaopin.com/CC542696630J40518322808.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
数据分析专员（实习生）,面议,杭州-拱墅,无经验,本科,数据处理、EXCLE,杭州中美华东制药有限公司,http://jobs.zhaopin.com/CC198426920J40515252910.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
产品数据工程师（高级）(J10340),1.5万-2.8万 · 14薪,杭州-滨江,5-10年,本科,数据平台、产品数据、BOM,易思维,http://jobs.zhaopin.com/CC622090030J40424102510.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
数据开发工程师,1.1万-2万,杭州-滨江,3-5年,本科,数据清洗、ETL、Flink、数据中台,杭州诚品科技有限公司,http://jobs.zhaopin.com/CC199434210J40234621510.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
区块链密码学专家,2万-4万,杭州-滨江,1-3年,硕士,,杭州高新区(滨江)区块链与数据安全研究院,http://jobs.zhaopin.com/CCL1475147210J40479750311.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
土地、GIS数据工程师,8千-1.2万,杭州,经验不限,本科,地理信息系统（gis）、土地、测绘、农业,杭州同轩科技有限公司,http://jobs.zhaopin.com/CZ734992080J00107220401.htm?refcode=4019&srccode=401901&preactionid=3f34474d-fe62-437f-bc6e-3f8183335436
