职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
通用软件开发工程师,1.6万-3万 · 14薪,杭州-滨江,经验不限,本科,C++、C、Linux开发、Python,西安华为,http://jobs.zhaopin.com/CC450463880J40578666115.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
语言大模型算法工程师,1.8万-2.8万 · 15薪,杭州-滨江,1-3年,硕士,文本分析、实体识别、PyTorch、C++、Python,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40581916815.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
高级测试工程师,面议,杭州-钱塘,5-10年,本科,Java、Python,辉瑞投资有限公司,http://jobs.zhaopin.com/CC000024670J40519470808.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
测试工程师,1万-1.5万 · 14薪,杭州-滨江,1-3年,本科,Python、接口自动化测试,中控技术股份有限公司,http://jobs.zhaopin.com/CC191024010J40469530816.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
生物信息分析工程师,9千-1.5万 · 13薪,杭州-西湖,经验不限,硕士,R语言、Python、基因组重测序、表观遗传分析、Linux、NGS、UCSC、基因测序,杭州开泰生物技术有限公司,http://jobs.zhaopin.com/CC162275610J40479538603.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
高级产品经理/项目经理,1.5万-2万,杭州-滨江,3-5年,本科,Axure、SQL、Python、B端产品、虚拟电厂、融媒体、电力实验室检测,山东智和创信息技术有限公司,http://jobs.zhaopin.com/CC461476710J40475194804.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
系统验证工程师,3.5万-6.5万,杭州-余杭,5-10年,本科,系统级验证、Python,进迭时空(杭州)科技有限公司,http://jobs.zhaopin.com/CCL1378359190J40333776707.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
资深java开发工程师,1.5万-2万,杭州-西湖,5-10年,本科,Spring、Javascript、Python、MySQL、NoSQL、SPRING BOOT,杭州趣吧吧科技有限公司,http://jobs.zhaopin.com/CCL1469959720J40525492407.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
算法工程师,2.5万-5万 · 14薪,杭州-滨江,经验不限,本科,视觉图像算法、C语言、C++、MATLAB、Python,外企德科,http://jobs.zhaopin.com/CC138117190J40479772205.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
高级 杭州测试 (数据测试（营销数字BI）) AI面试,1.7万-2万,杭州-滨江,5-10年,本科,自动化测试、性能测试、通信测试、Javascript、Python、HTML、Postman、禅道、Fiddler,上海正诺信息科技有限公司,http://jobs.zhaopin.com/CC682919930J40527986307.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
图像识别,2万-2.5万 · 15薪,杭州-萧山,3-5年,本科,图像检测识别、图像分类、OCR识别、PyTorch、TensorFlow、Caffe、OpenCV、C++、Python,杭州龙堡智能科技有限公司,http://jobs.zhaopin.com/CCL1476093920J40465131613.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
测试开发工程师,2万-3万 · 16薪,杭州-余杭,1-3年,本科,Python、Java,北京宝信科技有限公司,http://jobs.zhaopin.com/CC697433520J40514337109.htm?refcode=4019&srccode=401901&preactionid=4c31af89-f600-497d-aca8-c9806cc5b48f
