职位名称,薪水,工作地点,经验要求,学历要求,职位标签,公司名称,详情链接
数据分析/数据开发/数据挖掘,1.5万-3万 · 14薪,杭州-滨江,经验不限,本科,Python、C++、Java、Hadoop,外企德科,http://jobs.zhaopin.com/CC138117190J40506311405.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据爬虫工程师,1万-2万,杭州-滨江,3-5年,本科,Python、SQL、Java、GO、爬虫开发、Flask、Django、MYSQL、PGSQL、ES,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40479988016.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
基因数据挖掘高级工程师,1万-2万,杭州-余杭,经验不限,硕士,机器学习、分类算法、MySQL、Oracle、SQL Server、Python、Shell、预测分析,吉林省中科生物工程股份有限公司,http://jobs.zhaopin.com/CC280873610J40506458509.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
【实习生】数据挖掘工程师,120-150/天,杭州-滨江,无经验,本科,数据挖掘,华诺科技,http://jobs.zhaopin.com/CC143699670J40483468103.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据采集分析工程师,1.5万-3万,杭州-滨江,1-3年,本科,Python、SQL、Java、GO、分布式爬虫、数据爬虫,河南爱收入科技有限公司杭州分公司,http://jobs.zhaopin.com/CCL1472368380J40485069116.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
研究院-大数据算法实习生,300-350/天,杭州-滨江,无经验,硕士,Python、数据库、数据挖掘,杭州海康威视数字技术股份有限公司,http://jobs.zhaopin.com/CC120975580J40591720815.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据分析（BI工程师）,1万-1.4万,杭州-滨江,3-5年,大专,FineBI、FineReport,北京宝信科技有限公司,http://jobs.zhaopin.com/CC697433520J40520621609.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据治理工程师（实习）,150-240/天,杭州-西湖,经验不限,学历不限,Python、机器学习、神经网络、Spark,箴理科技(杭州)有限责任公司,http://jobs.zhaopin.com/CCL1475429960J40491147805.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据挖掘（银行）,2.5万-3.5万,杭州-萧山,10年以上,本科,银行、风控模型、营销,长亮科技,http://jobs.zhaopin.com/CC120564550J40486230304.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据治理工程师,1.7万-3万,杭州-滨江,1-3年,本科,数据治理、数据架构、数据中台、SQL、关联分析,康恩贝,http://jobs.zhaopin.com/CC000452530J40375953704.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
开发（不限语言）/大数据/安全,1.5万-3万 · 15薪,杭州-滨江,无经验,本科,MySQL,外企德科,http://jobs.zhaopin.com/CC138117190J40511731105.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据挖掘算法工程师,2万-4万 · 16薪,杭州-余杭,经验不限,硕士,Python、机器学习、深度学习、数据挖掘、Java、Hive,成都韬普讯企业管理服务有限公司,http://jobs.zhaopin.com/CCL1282387760J40498424003.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
大数据算法工程师,1.6万-2.4万 · 14薪,杭州-余杭,3-5年,本科,深度学习,威星智能,http://jobs.zhaopin.com/CC198524320J40545735212.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据分析（BI工程师）,1.3万-1.4万,杭州-滨江,3-5年,大专,数据可视化、FineBI、FineReport,北京宝信科技有限公司,http://jobs.zhaopin.com/CC697433520J40520625009.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
BI报表开发（线上面试）,1.3万-1.8万,杭州-滨江,3-5年,大专,报表开发、SQL、SQL Server、Hive、ETL、帆软、FINEBI,博彦科技,http://jobs.zhaopin.com/CC000163970J40481525403.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
漏洞挖掘工程师/安全研究员,1万-2万,杭州-余杭,经验不限,本科,安全防攻、IOT设备漏洞挖掘、二进制、逆向分析、攻防红队,北京三信时代科技有限公司,http://jobs.zhaopin.com/CC161212920J40539336212.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
大模型算法工程师,3万-4.5万 · 16薪,杭州-余杭,3-5年,硕士,Python、Java、机器学习、深度学习、统计分析、Hive、Hadoop,大连优利莱信息技术有限公司,http://jobs.zhaopin.com/CC630289130J40530224201.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
数据架构师,2万-2.5万 · 13薪,杭州-余杭,5-10年,本科,数据架构、数据治理,浙江希优信息科技有限公司,http://jobs.zhaopin.com/CC219838730J40559831114.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
临床数据分析师、医学遗传分析师,9千-1.5万 · 14薪,杭州-钱塘,经验不限,本科,医学、生物统计学、生物医疗、数据挖掘、数据建模,杭州金诺医学检验实验室有限公司,http://jobs.zhaopin.com/CC323630080J40175069914.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
NLP 数据挖掘/算法工程师,1.6万-2.2万,杭州-滨江,经验不限,硕士,,山东智和创信息技术有限公司,http://jobs.zhaopin.com/CC461476710J40479684204.htm?refcode=4019&srccode=401901&preactionid=22535e7f-ceb0-441a-be0b-1f1704a79789
